Main Clock Divider,TCCx Prescaler,Resolution,PWM Frequency
1,1,96,1000000.00
1,1,100,960000.00
1,1,200,480000.00
1,2,100,480000.00
2,1,100,480000.00
1,1,300,320000.00
3,1,100,320000.00
1,1,400,240000.00
1,2,200,240000.00
2,1,200,240000.00
1,4,100,240000.00
2,2,100,240000.00
4,1,100,240000.00
1,1,500,192000.00
5,1,100,192000.00
1,1,600,160000.00
1,2,300,160000.00
2,1,300,160000.00
3,1,200,160000.00
3,2,100,160000.00
6,1,100,160000.00
1,1,700,137142.86
7,1,100,137142.86
1,1,800,120000.00
1,2,400,120000.00
2,1,400,120000.00
1,4,200,120000.00
2,2,200,120000.00
4,1,200,120000.00
1,8,100,120000.00
2,4,100,120000.00
4,2,100,120000.00
8,1,100,120000.00
1,1,900,106666.66
3,1,300,106666.66
9,1,100,106666.66
1,1,1000,96000.00
1,2,500,96000.00
2,1,500,96000.00
5,1,200,96000.00
5,2,100,96000.00
10,1,100,96000.00
1,1,1100,87272.73
11,1,100,87272.73
1,1,1200,80000.00
1,2,600,80000.00
2,1,600,80000.00
3,1,400,80000.00
1,4,300,80000.00
2,2,300,80000.00
4,1,300,80000.00
3,2,200,80000.00
6,1,200,80000.00
3,4,100,80000.00
6,2,100,80000.00
12,1,100,80000.00
1,1,1300,73846.16
13,1,100,73846.16
1,1,1400,68571.43
1,2,700,68571.43
2,1,700,68571.43
7,1,200,68571.43
7,2,100,68571.43
14,1,100,68571.43
1,1,1500,64000.00
3,1,500,64000.00
5,1,300,64000.00
15,1,100,64000.00
1,1,1600,60000.00
1,2,800,60000.00
2,1,800,60000.00
1,4,400,60000.00
2,2,400,60000.00
4,1,400,60000.00
1,8,200,60000.00
2,4,200,60000.00
4,2,200,60000.00
8,1,200,60000.00
1,16,100,60000.00
2,8,100,60000.00
4,4,100,60000.00
8,2,100,60000.00
16,1,100,60000.00
1,1,1700,56470.59
17,1,100,56470.59
1,1,1800,53333.33
1,2,900,53333.33
2,1,900,53333.33
3,1,600,53333.33
3,2,300,53333.33
6,1,300,53333.33
9,1,200,53333.33
9,2,100,53333.33
18,1,100,53333.33
1,1,1900,50526.32
19,1,100,50526.32
1,1,2000,48000.00
1,2,1000,48000.00
2,1,1000,48000.00
1,4,500,48000.00
2,2,500,48000.00
4,1,500,48000.00
5,1,400,48000.00
5,2,200,48000.00
10,1,200,48000.00
5,4,100,48000.00
10,2,100,48000.00
20,1,100,48000.00
1,1,2100,45714.29
3,1,700,45714.29
7,1,300,45714.29
21,1,100,45714.29
1,1,2200,43636.36
1,2,1100,43636.36
2,1,1100,43636.36
11,1,200,43636.36
11,2,100,43636.36
22,1,100,43636.36
1,1,2300,41739.13
23,1,100,41739.13
1,1,2400,40000.00
1,2,1200,40000.00
2,1,1200,40000.00
3,1,800,40000.00
1,4,600,40000.00
2,2,600,40000.00
4,1,600,40000.00
3,2,400,40000.00
6,1,400,40000.00
1,8,300,40000.00
2,4,300,40000.00
4,2,300,40000.00
8,1,300,40000.00
3,4,200,40000.00
6,2,200,40000.00
12,1,200,40000.00
3,8,100,40000.00
6,4,100,40000.00
12,2,100,40000.00
24,1,100,40000.00
1,1,2500,38400.00
5,1,500,38400.00
25,1,100,38400.00
1,1,2600,36923.08
1,2,1300,36923.08
2,1,1300,36923.08
13,1,200,36923.08
13,2,100,36923.08
26,1,100,36923.08
1,1,2700,35555.55
3,1,900,35555.55
9,1,300,35555.55
27,1,100,35555.55
1,1,2800,34285.71
1,2,1400,34285.71
2,1,1400,34285.71
1,4,700,34285.71
2,2,700,34285.71
4,1,700,34285.71
7,1,400,34285.71
7,2,200,34285.71
14,1,200,34285.71
7,4,100,34285.71
14,2,100,34285.71
28,1,100,34285.71
1,1,2900,33103.45
29,1,100,33103.45
1,1,3000,32000.00
1,2,1500,32000.00
2,1,1500,32000.00
3,1,1000,32000.00
5,1,600,32000.00
3,2,500,32000.00
6,1,500,32000.00
5,2,300,32000.00
10,1,300,32000.00
15,1,200,32000.00
15,2,100,32000.00
30,1,100,32000.00
1,1,3100,30967.74
31,1,100,30967.74
1,1,3200,30000.00
1,2,1600,30000.00
2,1,1600,30000.00
1,4,800,30000.00
2,2,800,30000.00
4,1,800,30000.00
1,8,400,30000.00
2,4,400,30000.00
4,2,400,30000.00
8,1,400,30000.00
1,16,200,30000.00
2,8,200,30000.00
4,4,200,30000.00
8,2,200,30000.00
16,1,200,30000.00
2,16,100,30000.00
4,8,100,30000.00
8,4,100,30000.00
16,2,100,30000.00
32,1,100,30000.00
1,1,3300,29090.91
3,1,1100,29090.91
11,1,300,29090.91
33,1,100,29090.91
1,1,3400,28235.29
1,2,1700,28235.29
2,1,1700,28235.29
17,1,200,28235.29
17,2,100,28235.29
34,1,100,28235.29
1,1,3500,27428.57
5,1,700,27428.57
7,1,500,27428.57
35,1,100,27428.57
1,1,3600,26666.67
1,2,1800,26666.67
2,1,1800,26666.67
3,1,1200,26666.67
1,4,900,26666.67
2,2,900,26666.67
4,1,900,26666.67
3,2,600,26666.67
6,1,600,26666.67
9,1,400,26666.67
3,4,300,26666.67
6,2,300,26666.67
12,1,300,26666.67
9,2,200,26666.67
18,1,200,26666.67
9,4,100,26666.67
18,2,100,26666.67
36,1,100,26666.67
1,1,3700,25945.95
37,1,100,25945.95
1,1,3800,25263.16
1,2,1900,25263.16
2,1,1900,25263.16
19,1,200,25263.16
19,2,100,25263.16
38,1,100,25263.16
1,1,3900,24615.38
3,1,1300,24615.38
13,1,300,24615.38
39,1,100,24615.38
1,1,4000,24000.00
1,2,2000,24000.00
2,1,2000,24000.00
1,4,1000,24000.00
2,2,1000,24000.00
4,1,1000,24000.00
5,1,800,24000.00
1,8,500,24000.00
2,4,500,24000.00
4,2,500,24000.00
8,1,500,24000.00
5,2,400,24000.00
10,1,400,24000.00
5,4,200,24000.00
10,2,200,24000.00
20,1,200,24000.00
5,8,100,24000.00
10,4,100,24000.00
20,2,100,24000.00
40,1,100,24000.00
1,1,4100,23414.63
41,1,100,23414.63
1,1,4200,22857.14
1,2,2100,22857.14
2,1,2100,22857.14
3,1,1400,22857.14
3,2,700,22857.14
6,1,700,22857.14
7,1,600,22857.14
7,2,300,22857.14
14,1,300,22857.14
21,1,200,22857.14
21,2,100,22857.14
42,1,100,22857.14
1,1,4300,22325.58
43,1,100,22325.58
1,1,4400,21818.18
1,2,2200,21818.18
